InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
P00533	P00533	"intact, Dip, Biogrid, Hprd"	1	1	62	"16777603, 19563760, 21480528, 20029029, 22579287, 23374349, 22232519, 24135280, 20359299, 19650109, 23436906, 18427122, 17148612, 18042729, 21482778, 20007378, 23636329, 23273428, 14576349, 19225046, 18271526, 23956138, 23972990, 24797263, 8870675, 12297049, 12297050, 12620237, 25453753, 2732223, 23794705, 21775422, 23595626, 20456371, 28065597, 24077285, 11087732, 6321473, 2915986, 19560417, 9092812, 9815748, 8057149, 23583406, 8665853, 1429858, 25315821, 8816440, 10347170, 7527393, 12795333, 12354760, 11279102, 12397069, 12009895, 8940083, 11114724, 8845374, 11983694, 9363897, 10635327, 16274239"
P62993	P00533	"intact, mint, Dip, Biogrid, Hprd"	1	1	60	"12577067, 14679214, 8887653, 7527043, 16729043, 15657067, 16273093, 7518560, 16799092, 8940013, 9020117, 10229072, 11896612, 21706016, 23178716, 24189400, 23799367, 24658140, 27059931, 1322798, 11960376, 10085134, 9050991, 8647858, 7510700, 10026169, 17971399, 17242169, 20124286, 19531499, 21596750, 9886492, 19836242, 9416834, 11408594, 10595738, 7592693, 19289468, 18271526, 8662998, 23956138, 7506413, 24797263, 11370743, 25402006, 7650032, 8810340, 20473329, 19254954, 8665853, 8621459, 25187647, 8626525, 20067773, 9685397, 9020193, 30544639, 25754235, 11726515, 8810325"
Q15149	P00533	Hprd	2	2	1	12577067
A7KAX9	P00533	Biogrid	2	2	1	12446789
O00206	P00533	mint	2	2	1	17126326
O00213	P00533	"mint, Biogrid"	1	1	1	16273093
O00291	P00533	Biogrid	2	2	2	"17440072, 23836884"
O00401	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
O14512	P00533	Hprd	2	2	1	9344857
O14522	P00533	"mint, Biogrid"	1	1	1	28065597
O14544	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
O14818	P00533	"intact, Biogrid"	1	1	1	20029029
O14944	P00533	"Biogrid, Hprd"	2	2	1	9419975
O14964	P00533	"Dip, Biogrid, Hprd"	1	1	8	"20308550, 18508924, 15212941, 23153581, 23602387, 23477725, 25588945, 12953068"
O14965	P00533	intact	1	1	1	23520446
O15121	P00533	Hprd	1	1	1	9188692
O15162	P00533	"Biogrid, Hprd"	2	2	2	"12009895, 12871937"
O15492	P00533	"Biogrid, Hprd"	1	1	2	"11602604, 12588871"
O15511	P00533	intact	1	1	1	20029029
O43561	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
O43639	P00533	"intact, Biogrid, Hprd"	1	1	6	"24658140, 9737977, 10026169, 9843575, 25402006, 1333047"
O43707	P00533	"intact, Biogrid"	1	1	3	"24658140, 25402006, 26320552"
O60260	P00533	Biogrid	2	2	1	25877876
O60496	P00533	"Biogrid, Hprd"	1	1	1	10508618
O60603	P00533	"mint, intact, Biogrid"	1	1	3	"17126326, 24658140, 25402006"
O60645	P00533	"intact, Biogrid"	2	2	2	"25594178, 23956138"
O60674	P00533	"mint, Biogrid, Hprd"	1	1	6	"16273093, 10358079, 23838182, 24240702, 9363897, 10635327"
O60749	P00533	"Biogrid, Hprd"	2	2	2	"9819414, 24797263"
O60880	P00533	"mint, Biogrid"	1	1	1	16273093
O75312	P00533	Hprd	2	2	2	"10938113, 8650580"
O75368	P00533	"mint, intact, Biogrid"	1	1	2	"16729043, 20029029"
O75604	P00533	Biogrid	2	2	1	22370483
O75674	P00533	"mint, Biogrid"	2	2	1	19798056
O94875	P00533	"intact, Biogrid"	1	1	1	20029029
O94898	P00533	Biogrid	2	2	1	25353163
O94992	P00533	"intact, Biogrid"	1	1	1	20029029
O95219	P00533	"Biogrid, Hprd"	2	2	1	9819414
O95433	P00533	"intact, Biogrid"	1	1	1	20029029
O96018	P00533	"mint, Biogrid"	1	1	1	16273093
P00519	P00533	"mint, intact, Biogrid"	1	1	4	"16273093, 24658140, 25402006, 7678409"
P02751	P00533	"intact, Biogrid"	1	1	1	20029029
P03971	P00533	Hprd	2	2	1	8596488
P04049	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
P04075	P00533	"intact, Biogrid"	1	1	1	20029029
P04150	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
P04899	P00533	Hprd	2	2	1	11286993
P05107	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
P05771	P00533	Biogrid	1	1	1	9815893
P05787	P00533	Hprd	2	2	1	12577067
P05981	P00533	Biogrid	1	1	1	19911255
P06132	P00533	"intact, Biogrid"	1	1	1	20029029
P06396	P00533	intact	1	1	1	20029029
P07332	P00533	"mint, Biogrid"	1	1	1	16273093
P07585	P00533	"Biogrid, Hprd"	1	1	2	"12105206, 9988678"
P08575	P00533	intact	1	1	1	19167335
P08648	P00533	Hprd	2	2	1	10888683
P08729	P00533	Hprd	2	2	1	12577067
P09936	P00533	"intact, Biogrid"	1	1	1	20029029
P10636	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
P11279	P00533	"mint, Biogrid"	2	2	3	"21510942, 24597955, 28986450"
P12004	P00533	Biogrid	1	1	1	17115032
P12931	P00533	"mint, intact, Biogrid, Hprd"	1	1	22	"17284441, 24658140, 28065597, 10358079, 10777553, 10971656, 17158602, 21573184, 20333651, 23175185, 21268077, 25402006, 24189400, 22227249, 7797556, 19704002, 7527393, 7506422, 9020193, 8845374, 11983694, 10075741"
P12956	P00533	Hprd	2	2	1	9430697
P13688	P00533	Hprd	2	2	1	15467833
P14174	P00533	"Dip, Biogrid"	1	1	1	26280537
P14555	P00533	Biogrid	2	2	1	28440478
P14923	P00533	"intact, Biogrid"	1	1	5	"24658140, 9535896, 24797263, 25402006, 14517306"
P15291	P00533	Biogrid	1	1	1	23583406
P15941	P00533	"mint, intact, Biogrid, Hprd"	1	1	6	"11483589, 24658140, 11278868, 16983337, 21258405, 25402006"
P16070	P00533	"Biogrid, Hprd"	2	2	5	"12093135, 15597342, 23265944, 16565089, 11606076"
P16104	P00533	Biogrid	2	2	2	"21704408, 28065597"
P16152	P00533	"intact, Biogrid"	1	1	1	20029029
P16234	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
P16591	P00533	"Biogrid, Hprd"	2	2	2	"7623846, 18271526"
P16885	P00533	"mint, intact, Biogrid"	1	1	4	"16273093, 25241761, 24658140, 25402006"
P16930	P00533	"intact, Biogrid"	1	1	1	20029029
P17252	P00533	"intact, Biogrid, Hprd"	1	1	3	"24658140, 12878187, 25402006"
P17706	P00533	"Biogrid, Hprd"	1	1	3	"11514572, 9488479, 15588985"
P18065	P00533	Biogrid	2	2	1	25893308
P19174	P00533	"mint, Biogrid, Hprd"	1	1	19	"16273093, 7693694, 14568990, 9020117, 7993895, 12061819, 9207933, 9756944, 12803489, 24797263, 11983899, 19605547, 25754235, 8885868, 8657103, 1689310, 7682059, 15144186, 12601080"
P19438	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
P21291	P00533	"intact, Biogrid"	1	1	1	20029029
P26447	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
P27701	P00533	"Biogrid, Hprd"	2	2	1	10985391
P27986	P00533	"mint, intact, Biogrid, Hprd"	1	1	11	"8662998, 16273093, 7797556, 25241761, 19531499, 21701776, 25187647, 16230374, 7531698, 7499252, 25754235"
P29353	P00533	"mint, intact, Dip, Biogrid, Hprd"	1	1	44	"8662998, 16729043, 15657067, 16273093, 9544989, 7518560, 7542744, 8034616, 23178716, 24189400, 23799367, 24658140, 28065597, 26551075, 9742218, 19531499, 9756944, 9130710, 11370743, 11408594, 10595738, 18271526, 10049786, 10635327, 23956138, 7506413, 24797263, 25402006, 8810340, 10766863, 24430869, 20473329, 9388490, 8610109, 11196191, 7542991, 8665853, 25187647, 20067773, 9020193, 30544639, 25754235, 8887653, 12577067"
P29466	P00533	"Biogrid, Hprd"	1	1	1	11226410
P29590	P00533	Biogrid	1	1	1	23563092
P30304	P00533	"Biogrid, Hprd"	1	1	1	11912208
P30530	P00533	"intact, Biogrid"	1	1	2	"25873175, 27775700"
P30542	P00533	Biogrid	2	2	1	25661317
P32004	P00533	Biogrid	2	2	1	22815787
P34932	P00533	"intact, Biogrid"	1	1	5	"20029029, 24658140, 12006493, 18271526, 25402006"
P35070	P00533	"Dip, Hprd"	2	2	2	"9662041, 9528863"
P35240	P00533	Biogrid	1	1	2	"25043298, 28628118"
P35568	P00533	"mint, Biogrid"	1	1	1	16273093
P35813	P00533	"mint, Biogrid"	1	1	1	28065597
P37231	P00533	Biogrid	1	1	1	26718225
P37840	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
P40925	P00533	"intact, Biogrid"	1	1	1	20029029
P41240	P00533	"mint, intact, Biogrid"	1	1	4	"16729043, 24658140, 24797263, 25402006"
P42224	P00533	"mint, intact, Biogrid, Hprd"	1	1	16	"12070153, 24658140, 10358079, 15284024, 23956138, 24797263, 25402006, 7657660, 11294897, 10918587, 15322115, 7543024, 11839738, 12817007, 7690989, 12637327"
P42229	P00533	"intact, Biogrid, Hprd"	1	1	6	"24658140, 16729043, 10358079, 25402006, 24135280, 22729867"
P42336	P00533	Biogrid	1	1	4	"28628118, 1845983, 8561895, 25754235"
P42679	P00533	Biogrid	2	2	1	9461599
P42684	P00533	"mint, intact, Biogrid"	1	1	3	"16273093, 24658140, 25402006"
P42685	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
P42768	P00533	Biogrid	2	2	1	9307968
P42858	P00533	"Biogrid, Hprd"	2	2	1	9079622
P45984	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
P46108	P00533	"mint, intact, Biogrid, Hprd"	1	1	11	"16273093, 24658140, 16729043, 9642287, 10595738, 9617486, 25402006, 12198159, 11956190, 8875975, 9480911"
P46934	P00533	Biogrid	1	1	2	"19953087, 29455656"
P46937	P00533	Biogrid	2	2	1	12807903
P49069	P00533	"intact, Biogrid, Hprd"	1	1	3	"24658140, 12919676, 25402006"
P49407	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
P49757	P00533	"mint, Biogrid"	1	1	2	"16273093, 25754235"
P50876	P00533	Biogrid	1	1	1	30171075
P51451	P00533	"mint, intact, Biogrid"	1	1	3	"16273093, 24658140, 25402006"
P51452	P00533	Biogrid	1	1	1	1281549
P51813	P00533	"mint, Biogrid"	1	1	1	16273093
P52306	P00533	"intact, Biogrid"	1	1	1	20029029
P52630	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
P54368	P00533	"intact, Biogrid"	1	1	1	20029029
P56962	P00533	mint	1	1	1	24412244
P57075	P00533	Biogrid	2	2	2	"15159412, 15107835"
P58107	P00533	Hprd	2	2	1	12577067
P60174	P00533	"intact, Biogrid"	1	1	1	20029029
P60468	P00533	Biogrid	2	2	2	"19602593, 20937808"
P60484	P00533	Biogrid	2	2	1	26531778
P60520	P00533	"intact, Biogrid"	1	1	1	20029029
P62491	P00533	intact	2	2	1	27569582
P63096	P00533	Biogrid	2	2	1	29520106
P98077	P00533	"mint, Biogrid"	1	1	3	"16273093, 24430869, 8610109"
Q00169	P00533	Hprd	2	2	1	7761838
Q01344	P00533	Biogrid	1	1	1	10823900
Q02156	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
Q02297	P00533	"intact, Biogrid"	1	1	3	"24658140, 7730382, 25402006"
Q05209	P00533	"intact, mint, Biogrid"	1	1	5	"21376233, 20029029, 24658140, 28065597, 25402006"
Q05513	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
Q05655	P00533	Hprd	2	2	2	"2987962, 2984676"
Q06190	P00533	Biogrid	2	2	1	19825976
Q06830	P00533	"intact, Biogrid"	1	1	3	"20029029, 18271526, 23956138"
Q07889	P00533	"Dip, Biogrid, Hprd"	1	1	12	"26005835, 10675333, 9447973, 7510700, 19531499, 19289468, 18271526, 23956138, 24797263, 20473329, 8621459, 25754235"
Q07890	P00533	"intact, Biogrid, Hprd"	1	1	7	"24658140, 10675333, 19531499, 18271526, 23956138, 24797263, 25402006"
Q07954	P00533	"intact, Biogrid"	1	1	3	"24658140, 25402006, 28065597"
Q09666	P00533	"intact, Biogrid"	1	1	2	"20029029, 24189400"
Q12933	P00533	"intact, Biogrid"	1	1	4	"24658140, 18271526, 23972990, 25402006"
Q13094	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
Q13322	P00533	"mint, intact, Biogrid, Hprd"	1	1	4	"9506989, 24658140, 25402006, 9006901"
Q13332	P00533	Hprd	2	2	1	10435588
Q13387	P00533	"mint, intact, Biogrid"	1	1	3	"16273093, 24658140, 25402006"
Q13489	P00533	Biogrid	2	2	1	23972990
Q13490	P00533	Biogrid	2	2	1	23972990
Q13491	P00533	"intact, Biogrid"	1	1	1	20029029
Q13636	P00533	Biogrid	1	1	2	"19725050, 24644286"
Q14050	P00533	"intact, Biogrid"	1	1	1	20029029
Q14093	P00533	mint	1	1	1	24412244
Q14145	P00533	Biogrid	1	1	1	25628777
Q14155	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
Q14204	P00533	"intact, Biogrid"	1	1	1	20029029
Q14247	P00533	"intact, Biogrid"	1	1	3	"24658140, 24797263, 25402006"
Q14318	P00533	"intact, Biogrid"	1	1	1	20029029
Q14451	P00533	Hprd	2	2	1	9710451
Q14457	P00533	intact	2	2	1	24034250
Q15109	P00533	Dip	2	2	1	16954185
Q15120	P00533	"intact, Biogrid"	1	1	1	20029029
Q15303	P00533	"intact, Biogrid, Hprd"	1	1	5	"10572067, 23153581, 25140053, 16061658, 25315821"
Q15750	P00533	"intact, Biogrid"	1	1	3	"24658140, 18271526, 25402006"
Q15819	P00533	"intact, Biogrid"	1	1	1	20029029
Q16186	P00533	"intact, Biogrid"	1	1	1	20029029
Q16539	P00533	Biogrid	1	1	1	7535770
Q38SD2	P00533	"intact, Biogrid"	1	1	3	"24947832, 28065597, 29513927"
Q3V6T2	P00533	Biogrid	1	1	2	"15882442, 25187647"
Q5T7W7	P00533	mint	1	1	1	24412244
Q68CZ2	P00533	"intact, Biogrid"	1	1	3	"24658140, 25402006, 15140944"
Q6GQQ9	P00533	Biogrid	2	2	1	22179831
Q6NZI2	P00533	"Dip, Biogrid"	2	2	2	"18776048, 23956138"
Q6PKX4	P00533	"mint, Biogrid"	1	1	1	16273093
Q6UXM1	P00533	Biogrid	2	2	1	20126551
Q6YHK3	P00533	Biogrid	2	2	1	25724945
Q7L273	P00533	intact	1	1	1	20029029
Q7Z6G8	P00533	"mint, Biogrid"	1	1	1	16273093
Q7Z7G1	P00533	"mint, Biogrid"	1	1	1	16273093
Q86TM3	P00533	Biogrid	2	2	1	28152297
Q8IYI6	P00533	"intact, Biogrid"	2	2	2	"25594178, 23956138"
Q8IZV2	P00533	"mint, Hprd"	2	2	1	16263120
Q8IZW8	P00533	"mint, Biogrid"	1	1	1	16273093
Q8N2K1	P00533	Biogrid	2	2	1	29069742
Q8N2Y8	P00533	"intact, Biogrid"	1	1	1	20029029
Q8N6M6	P00533	mint	1	1	1	24412244
Q8NBJ4	P00533	intact	1	1	1	27569582
Q8TCJ0	P00533	Biogrid	1	1	1	23940030
Q8TDB4	P00533	"intact, Biogrid"	1	1	1	20029029
Q8TDI0	P00533	intact	1	1	1	24658140
Q8WTR2	P00533	"mint, Biogrid"	1	1	1	28065597
Q8WU20	P00533	Biogrid	2	2	1	12974390
Q8WUI4	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
Q8WXH5	P00533	Biogrid	1	1	1	17997974
Q92529	P00533	"mint, Biogrid, Hprd"	1	1	5	"16273093, 9507002, 8662772, 8610109, 9685397"
Q92600	P00533	Biogrid	1	1	1	20878056
Q92729	P00533	Biogrid	1	1	1	8870675
Q92731	P00533	"intact, Biogrid"	2	2	1	21951318
Q92733	P00533	"intact, Biogrid"	1	1	1	20029029
Q92918	P00533	"intact, Biogrid, Hprd"	1	1	3	"24658140, 9346925, 25402006"
Q969T9	P00533	Biogrid	2	2	1	27578003
Q96A65	P00533	"intact, Biogrid"	2	2	2	"25594178, 23956138"
Q96AD5	P00533	intact	1	1	1	20029029
Q96B97	P00533	"mint, Biogrid"	2	2	7	"11894095, 12177062, 15456872, 12734385, 21635887, 16849543, 12771190"
Q96FE5	P00533	Dip	2	2	1	17726113
Q96JA1	P00533	Biogrid	2	2	4	"15345710, 15282549, 18542056, 20126551"
Q96KP1	P00533	intact	2	2	1	25594178
Q99075	P00533	"Biogrid, Hprd"	1	1	2	"12725245, 15358134"
Q99608	P00533	"intact, Biogrid"	1	1	1	20029029
Q99650	P00533	Biogrid	2	2	1	27110918
Q99704	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
Q99962	P00533	"mint, intact, Biogrid"	1	1	5	"11894095, 24658140, 15456872, 25402006, 24854121"
Q99963	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
Q9BRG2	P00533	"intact, Biogrid, Hprd"	1	1	3	"24658140, 10187783, 25402006"
Q9BT67	P00533	Biogrid	2	2	1	20534535
Q9BTV4	P00533	Biogrid	2	2	1	27991920
Q9BUN8	P00533	Biogrid	2	2	1	23306155
Q9BUZ4	P00533	Biogrid	2	2	1	30352854
Q9BV68	P00533	Biogrid	1	1	1	23418353
Q9BXL5	P00533	mint	1	1	1	24412244
Q9BY43	P00533	Biogrid	2	2	1	23477725
Q9H3S7	P00533	Biogrid	2	2	1	23477725
Q9H492	P00533	Biogrid	2	2	1	22963397
Q9H8T0	P00533	Biogrid	2	2	2	"25151576, 27535835"
Q9HCC9	P00533	Biogrid	2	2	1	19460345
Q9NSE2	P00533	"mint, intact, Biogrid"	1	1	3	"16273093, 24658140, 25402006"
Q9NV92	P00533	Biogrid	2	2	1	20534535
Q9NZ52	P00533	Biogrid	1	1	1	29358589
Q9NZN5	P00533	Biogrid	1	1	1	16565089
Q9P0J1	P00533	Biogrid	1	1	1	24486017
Q9P0L0	P00533	"intact, Biogrid"	1	1	3	"20029029, 23956138, 25754235"
Q9UBN7	P00533	"intact, Biogrid"	1	1	4	"20029029, 24658140, 20133936, 25402006"
Q9UJY4	P00533	Biogrid	1	1	1	29358589
Q9UJY5	P00533	Biogrid	1	1	1	29358589
Q9UKG1	P00533	"mint, Biogrid"	1	1	1	16273093
Q9UKW4	P00533	"Biogrid, Hprd"	2	2	4	"10938113, 24797263, 25754235, 11094073"
Q9ULV8	P00533	"Biogrid, Hprd"	1	1	4	"10571044, 10362357, 22888118, 29945960"
Q9UNH7	P00533	"Biogrid, Hprd"	2	2	1	11279102
Q9UQQ2	P00533	"mint, Biogrid"	1	1	1	16273093
Q9Y2R2	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
Q9Y4L5	P00533	Biogrid	1	1	1	23418353
Q9Y5K6	P00533	Biogrid	2	2	1	12672817
Q9Y6K9	P00533	"intact, Biogrid"	1	1	2	"24658140, 25402006"
Q9Y6Q6	P00533	"mint, Biogrid"	2	2	1	29844572
Q9Y6W3	P00533	mint	2	2	1	24953135
P04637	P04637	"intact, mint, Dip, Biogrid, Hprd"	1	1	52	"16291740, 17612295, 19339993, 21988832, 21522129, 22653443, 25609649, 25402006, 10876243, 16461914, 19667193, 22972749, 17620598, 20004160, 18087040, 20364130, 11254385, 21178074, 20159469, 14580323, 19011633, 21084564, 18414054, 17332328, 15383276, 22819825, 20235143, 16009130, 20080206, 24722987, 21231916, 8035799, 22522597, 27462439, 24037342, 25603536, 24374182, 28628118, 29549180, 17135243, 30503669, 12419336, 9628871, 11080164, 11842245, 10415337, 8816502, 11950834, 8921390, 11748221, 14519663, 12198151"
A8MT69	P04637	Hprd	2	2	1	17347673
O00629	P04637	Biogrid	1	1	1	19927155
O14576	P04637	mint	2	2	1	16616141
O14737	P04637	Biogrid	1	1	2	"22914926, 25499082"
O14757	P04637	"mint, Biogrid, Hprd"	1	1	8	"16511572, 11896572, 15364958, 12756247, 10673501, 9765199, 11551930, 11709713"
O14867	P04637	Biogrid	1	1	3	"19011633, 28000777, 22348305"
O14920	P04637	"mint, Dip, Biogrid"	1	1	2	"19883646, 19196987"
O14965	P04637	"intact, Biogrid, Hprd"	1	1	7	"28514442, 12198151, 14702041, 23201157, 26186194, 21761334, 30013191"
O15047	P04637	"intact, Biogrid"	1	1	2	"23870121, 29474905"
O15055	P04637	Biogrid	1	1	2	"25103245, 27834218"
O15105	P04637	Biogrid	2	2	1	17172861
O15164	P04637	"Dip, Biogrid"	2	2	3	"19556538, 22389628, 24820418"
O15169	P04637	Biogrid	1	1	2	"21057547, 23826318"
O15297	P04637	"Biogrid, Hprd"	1	1	2	"28027003, 17936559"
O15304	P04637	Biogrid	2	2	2	"19590512, 25431847"
O15379	P04637	"Dip, Hprd"	2	2	2	"16847267, 10777477"
O15391	P04637	"intact, Biogrid"	1	1	1	25402006
O15519	P04637	Biogrid	2	2	2	"18559494, 21474069"
O43189	P04637	"intact, Biogrid"	2	2	3	"27705803, 18385154, 23150668"
O43293	P04637	Biogrid	1	1	1	15001356
O43422	P04637	Biogrid	1	1	1	12384512
O43474	P04637	Hprd	2	2	1	10749849
O43593	P04637	Biogrid	2	2	1	27355563
O60260	P04637	Biogrid	1	1	1	28395174
O60285	P04637	Biogrid	1	1	1	21317932
O60477	P04637	Biogrid	2	2	1	25732823
O60481	P04637	"intact, Biogrid"	1	1	1	25402006
O60678	P04637	Biogrid	2	2	1	21942715
O60936	P04637	Dip	1	1	1	18087040
O75112	P04637	Biogrid	1	1	1	24647531
O75469	P04637	Biogrid	2	2	1	23536728
O75528	P04637	"Biogrid, Hprd"	1	1	5	"11707411, 18250150, 17452980, 23443559, 17272277"
O75569	P04637	Hprd	2	2	1	9010216
O94992	P04637	Biogrid	2	2	1	22948151
O95071	P04637	Biogrid	1	1	3	"21383020, 23443559, 28689657"
O95155	P04637	Biogrid	1	1	3	"21317885, 24587254, 26673821"
O95251	P04637	Biogrid	1	1	1	17954561
O95365	P04637	Biogrid	1	1	2	"19244234, 24857950"
O95571	P04637	Biogrid	2	2	1	17353187
O95630	P04637	Biogrid	1	1	1	27561390
O95863	P04637	"mint, Biogrid"	2	2	2	"20385133, 28067227"
O96013	P04637	Biogrid	1	1	1	28542136
P00374	P04637	"Biogrid, Hprd"	1	1	1	18451149
P00519	P04637	"Biogrid, Hprd"	1	1	2	"10629029, 10713716"
P01106	P04637	"intact, Biogrid"	1	1	3	"21150319, 28628118, 30415952"
P01112	P04637	Biogrid	2	2	1	21041410
P03950	P04637	Biogrid	2	2	1	22266868
P04083	P04637	Biogrid	2	2	1	27584794
P04150	P04637	"Biogrid, Hprd"	1	1	2	"11080152, 11562347"
P04271	P04637	"mint, Biogrid, Hprd"	1	1	5	"20591429, 15178678, 17010455, 11527429, 10876243"
P04731	P04637	mint	1	1	1	16442532
P05549	P04637	"Biogrid, Hprd"	1	1	2	"12226108, 16288208"
P06400	P04637	Biogrid	1	1	2	"20871633, 8083962"
P06703	P04637	"mint, Biogrid"	1	1	2	"20591429, 23796514"
P07900	P04637	"Dip, Biogrid, Hprd"	1	1	12	"21460846, 12427754, 11297531, 11507088, 10557093, 21268072, 15001357, 22939624, 23443559, 15358769, 15004035, 11707401"
P07948	P04637	Biogrid	2	2	1	12642697
P08047	P04637	"mint, Dip, Biogrid, Hprd"	1	1	18	"15710382, 21831840, 8463313, 18765668, 16740634, 12665570, 15674334, 20570896, 21325822, 9685344, 15574328, 9492043, 23650532, 19846904, 15790310, 11384995, 28000777, 14710355"
P08069	P04637	Biogrid	2	2	1	19165858
P08138	P04637	Biogrid	1	1	1	27282385
P09874	P04637	"mint, intact, Dip, Biogrid, Hprd"	1	1	5	"12898523, 14627987, 15044383, 9312059, 9565608"
P09884	P04637	"Biogrid, Hprd"	2	2	1	11917009
P09936	P04637	Biogrid	2	2	3	"18666234, 20395212, 29126443"
P0DMV8	P04637	"intact, Biogrid, Hprd"	2	2	6	"25241761, 8729618, 23443559, 25144556, 7954368, 7811761"
P0DMV9	P04637	"intact, Biogrid, Hprd"	2	2	6	"25241761, 8729618, 23443559, 25144556, 7954368, 7811761"
P10275	P04637	mint	1	1	1	19481544
P10398	P04637	Biogrid	1	1	1	28628118
P10599	P04637	Biogrid	1	1	1	19681600
P10828	P04637	"Dip, Biogrid, Hprd"	1	1	2	"8633054, 11258898"
P11473	P04637	"intact, Biogrid"	2	2	1	20227041
P12755	P04637	Biogrid	2	2	1	21149449
P12931	P04637	Biogrid	1	1	1	25071020
P12956	P04637	"Biogrid, Hprd"	2	2	2	"15782130, 11751391"
P13497	P04637	"intact, Biogrid"	1	1	1	18624398
P14174	P04637	"Biogrid, Hprd"	2	2	2	"18815136, 26980763"
P14373	P04637	Biogrid	1	1	1	20972456
P14625	P04637	Biogrid	1	1	1	25637791
P14649	P04637	Biogrid	2	2	1	29439719
P14921	P04637	Biogrid	2	2	3	"18374905, 14586398, 24857950"
P15884	P04637	"mint, intact, Biogrid"	1	1	2	"25609649, 25402006"
P16885	P04637	"intact, Biogrid"	1	1	1	25814554
P17252	P04637	Hprd	2	2	3	"9935181, 1454855, 9571186"
P17980	P04637	Biogrid	2	2	1	20479273
P18283	P04637	"intact, Biogrid"	1	1	1	21988832
P18754	P04637	"mint, Biogrid"	1	1	1	21900206
P19544	P04637	"Biogrid, Hprd"	1	1	3	"8389468, 9556563, 10744705"
P20248	P04637	"Biogrid, Hprd"	1	1	1	10884347
P21580	P04637	Biogrid	2	2	2	"23471665, 24099634"
P21675	P04637	Biogrid	1	1	2	"10359315, 15053879"
P22736	P04637	"mint, Biogrid, Hprd"	1	1	1	17139261
P23284	P04637	Biogrid	1	1	1	29876924
P23297	P04637	mint	1	1	1	20591429
P23396	P04637	"intact, Biogrid"	1	1	1	19656744
P24522	P04637	"mint, Biogrid"	1	1	1	21900206
P24941	P04637	"intact, Biogrid, Hprd"	1	1	6	"25241761, 10884347, 19556892, 12064478, 10747897, 10348343"
P25490	P04637	"intact, Biogrid"	1	1	5	"25402006, 15295102, 15210108, 18026119, 22440256"
P25685	P04637	Biogrid	1	1	2	"24361594, 11707401"
P26447	P04637	"mint, intact, Biogrid, Hprd"	1	1	8	"19740107, 20591429, 23752197, 11527429, 20070253, 11278647, 15116098, 12942774"
P27361	P04637	"Biogrid, Hprd"	2	2	3	"10958792, 21147777, 21187340"
P27694	P04637	"intact, Dip, Biogrid, Hprd"	1	1	7	"15735006, 8663296, 15489903, 11751427, 23267009, 9121469, 8361542"
P28360	P04637	Hprd	1	1	1	15705871
P28482	P04637	"intact, Biogrid, Hprd"	1	1	9	"25241761, 10958792, 21147777, 21675959, 23443559, 15867353, 11409876, 15116093, 12091386"
P29320	P04637	"Biogrid, Hprd"	1	1	1	15355990
P30419	P04637	"mint, Biogrid, Hprd"	2	2	1	16530191
P31350	P04637	"Dip, Biogrid, Hprd"	2	2	1	12615712
P31946	P04637	Biogrid	2	2	1	17898864
P33981	P04637	Biogrid	1	1	1	19332559
P35226	P04637	Biogrid	2	2	2	"22907436, 24039897"
P35232	P04637	"intact, mint, Biogrid, Hprd"	1	1	4	"16319068, 20134482, 24380853, 14500729"
P35251	P04637	Biogrid	2	2	1	12509469
P36405	P04637	"intact, Biogrid, Hprd"	1	1	1	16169070
P36956	P04637	intact	2	2	1	22265415
P37231	P04637	Biogrid	2	2	2	"29295932, 30699358"
P38646	P04637	"mint, intact, Biogrid, Hprd"	1	1	8	"17184779, 20153329, 22340593, 22726440, 11900485, 22366412, 23443559, 25144556"
P38936	P04637	"mint, intact, Biogrid"	1	1	16	"16616141, 21900206, 25241761, 17719542, 18614011, 18485870, 19410543, 19249676, 20228809, 17906639, 23870121, 11896572, 12897156, 17371838, 27626385, 9121469"
P40337	P04637	Biogrid	1	1	2	"16678111, 21942715"
