InteractorA,InteractorB
Q96Q40,Q16543
Q96Q40,Q13451
Q96Q40,P08238
Q8IU60,Q9NPI6
Q8IU60,Q8IZD4
Q8IU60,Q6P2E9
Q8IU60,Q6P2E9
Q8IU60,Q92900
Q14129,Q9ULX6
Q14129,Q96DF8
Q14129,P07954
Q14129,Q9NRY2
Q14129,P59991
Q13268,Q92624
Q96FX2,Q8WWB5
Q96FX2,Q9UGK8
Q96FX2,Q7Z4V0
O60941,Q8IZP0
O60941,Q9NYB9
O60941,Q9NYB9
O60941,Q9P2A4
O60941,Q9Y2J4
O60941,Q9BUH8
O60941,A0A1B0GWI1
O60941,A6NC98
O60941,Q8TD31
O60941,Q53EZ4
O60941,Q53EZ4
O60941,Q96MT8
O60941,Q96MT8
O60941,Q9Y2V7
O60941,P56545
O60941,Q9UBT7
O60941,Q05D60
O60941,P11532
O60941,P11532
O60941,Q96EV8
O60941,Q96KS9
O60941,A1L4K1
O60941,Q9UJY5
O60941,Q9UJY5
O60941,Q9NP66
O60941,Q9NP66
O60941,Q2T9L4
O60941,P19012
O60941,Q7Z3Y8
O60941,Q15323
O60941,Q15323
O60941,Q14525
O60941,Q92764
O60941,O76015
O60941,Q6A162
O60941,Q96LR2
O60941,Q8IYB1
O60941,Q5JR59
O60941,Q5JR59
O60941,Q9GZM8
O60941,P37198
O60941,P37198
O60941,Q9NRD5
O60941,P78424
O60941,Q13136
O60941,Q96KQ4
O60941,P31321
O60941,Q9NY99
O60941,Q8NA61
O60941,Q9BXG8
O60941,Q9BXG8
O60941,Q9BWW4
O60941,Q9UBB9
O60941,Q12933
O60941,Q12933
O60941,P14373
O60941,O94972
O60941,Q9BYV2
O60941,P40222
O60941,P40222
O60941,Q8N6Y0
O60941,Q8N6Y0
O60941,P55072
O60941,Q8N1B4
O60941,Q96C00
O60941,Q9UGI0
P43005,Q9Y282
P43005,Q5JX71
P43005,Q14802
P43005,Q5T700
P43005,O75459
P43005,Q99942
P43005,P78382
P43005,Q8TBG9
P43005,Q7Z7N9
Q5THR3,Q08379
Q8NEJ0,P06213
Q9BQI3,P11142
Q99956,P28482
Q99956,Q16539
Q658K8,P26641
P05305,P25101
P05305,P24530
O60869,P03372
O60869,P50222
O60869,Q13133
O60869,O00482
O60869,P37231
O60869,P20226
Q9NQ11,Q2M2I8
Q9NQ11,O60238
Q9NQ11,O14976
Q9NQ11,Q9UBN7
Q9NQ11,P11142
Q9NQ11,Q9BT88
Q9NQ11,O95070
A2IDD5,Q0VD86
Q00975,P28702
Q00537,A1A5D9
Q00537,P42772
Q00537,Q9C005
Q00537,P63104
Q8TAL5,Q5R372
Q7Z4T9,Q92667
Q7Z4T9,Q9C005
Q7Z4T9,Q99417
P01031,Q68DC2
P01031,Q13520
P01031,Q7Z7G2
P01031,Q96BA8
P01031,Q15125
P01031,P23276
P01031,Q8N743
P01031,Q8N4V1
P01031,O14524
P01031,O15173
P01031,P78424
P01031,Q8WWF3
P51795,O15066
P35523,Q92624
P35523,Q9UHD4
P35523,Q8IZU0
P35523,Q9NQX1
Q32Q52,P21549
Q32Q52,O43741
Q03060,O14503
Q03060,Q9Y6K1
Q03060,Q9BZE0
Q03060,P84074
Q03060,P37235
Q03060,Q9BUB5
Q03060,Q8TDC0
Q03060,P61601
Q03060,P62166
Q03060,P14859
Q03060,Q9BQY4
Q03060,Q01974
Q03060,Q9BVN2
Q03060,P14678
Q03060,P09234
Q03060,Q5T6F2
Q03060,O95231
Q9BUF7,Q86W74
Q9BUF7,Q9BXK5
Q9BUF7,O15155
